Name,Price,Rating,Rating & Review Count,Details
"OPPO A77s (Sunset Orange, 128 GB)"," 17,999",4.3,300 Ratings & 24 Reviews,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.66 cm (6.56 inch) HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh Lithium-ion Polymer BatteryQualcomm Snapdragon 680 Processor1 Year on Handset and 6 Months on Accessories
"OPPO F19 (Prism Black, 128 GB)"," 14,990",4.3,"25,344 Ratings & 1,824 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB16.33 cm (6.43 inch) Full HD+ Display48MP + 2MP + 2MP | 16MP Front Camera5000 mAh BatteryQualcomm Snapdragon 662 ProcessorBrand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories
"OPPO F21 Pro (Sunset Orange, 128 GB)"," 20,999",4.4,"2,724 Ratings & 196 Reviews",8 GB RAM | 128 GB ROM16.33 cm (6.43 inch) Display64MP Rear Camera4500 mAh Battery12 months
"OPPO K10 (Blue Flame, 128 GB)"," 13,990",4.4,"1,04,649 Ratings & 7,657 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.74 cm (6.59 inch) Full HD+ Display50MP + 2MP + 2MP | 16MP Front Camera5000 mAh Lithium Ion BatteryQualcomm Snapdragon 680 Processor33W SUPERVOOC Charger | Dual Speaker | Super Adaptive Refresh RateAI Photo Suite | OPPO Glow Design with Dirt and Scratch Resistant1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories
"OPPO A17k (Blue, 64 GB)"," 10,290",4.5,937 Ratings & 24 Reviews,3 GB RAM | 64 GB ROM | Expandable Upto 2 TB16.66 cm (6.56 inch) HD+ Display8MP Rear Camera | 5MP Front Camera5000 mAh BatteryMediatek Helio P35 Processor1 Year on Handset and 6 Months on Accessories
"OPPO F19s (Glowing Gold, 128 GB)"," 15,990",4.5,"10,186 Ratings & 561 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB16.33 cm (6.43 inch) Full HD+ Display48MP + 2MP + 2MP | 16MP Front Camera5000 mAh BatteryQualcomm Snapdragon 662 ProcessorBrand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories
"OPPO K10 (Black Carbon, 128 GB)"," 13,990",4.4,"1,04,649 Ratings & 7,657 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.74 cm (6.59 inch) Full HD+ Display50MP + 2MP + 2MP | 16MP Front Camera5000 mAh Lithium Ion BatteryQualcomm Snapdragon 680 Processor33W SUPERVOOC Charger | Dual Speaker | Super Adaptive Refresh RateAI Photo Suite | OPPO Glow Design with Dirt and Scratch Resistant1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories
"OPPO A17 (Lake Blue, 64 GB)"," 12,499",4.4,"1,920 Ratings & 81 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB16.66 cm (6.56 inch) HD+ Display50MP + 0.3MP + 0.3MP | 5MP Front Camera5000 mAh Lithium-ion Polymer BatteryMediatek Helio G35 Processor1 Year on Handset and 6 Months on Accessories
"OPPO A76 (Glowing Black, 128 GB)"," 16,490",4.3,362 Ratings & 27 Reviews,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.66 cm (6.56 inch) HD+ Display13MP + 2MP | 8MP Front Camera5000 mAh Lithium Ion BatteryQualcomm Snapdragon 680 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories
"OPPO Reno8 5G (Shimmer Black, 128 GB)"," 29,999",4.3,"34,885 Ratings & 4,454 Reviews",8 GB RAM | 128 GB ROM16.33 cm (6.43 inch) Full HD Display50MP + 8MP + 2MP | 32MP Front Camera4500 mAh Lithium-ion Polymer BatteryMediatek Dimensity 1300 Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"OPPO Reno8 5G (Shimmer Gold, 128 GB)"," 29,999",4.3,"34,885 Ratings & 4,454 Reviews",8 GB RAM | 128 GB ROM16.33 cm (6.43 inch) Full HD Display50MP + 8MP + 2MP | 32MP Front Camera4500 mAh Lithium-ion Polymer BatteryMediatek Dimensity 1300 Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"OPPO F21S PRO (Dawnlight Gold, 128 GB)"," 21,890",4.2,257 Ratings & 17 Reviews,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.33 cm (6.43 inch) Full HD+ Display64MP + 2MP + 2MP | 32MP + 2MP Dual Front Camera4500 mAh BatteryQualcomm SM6225 Snapdragon 680 4G (6 nm) Processor12MONTH
"OPPO A57 (Glowing Green, 64 GB)"," 13,999",4.4,"2,241 Ratings & 108 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.66 cm (6.56 inch) HD+ Display13MP + 2MP | 8MP Front Camera5000 mAh Lithium-ion Polymer BatteryMediatek Helio G35 Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"OPPO A57 (Glowing Gold, 64 GB)"," 13,999",4.4,"2,241 Ratings & 108 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.66 cm (6.56 inch) HD+ Display13MP + 2MP | 8MP Front Camera5000 mAh Lithium-ion Polymer BatteryMediatek Helio G35 Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"OPPO Reno8 5G (Shimmer Gold, 128 GB)"," 29,999",4.3,"34,885 Ratings & 4,454 Reviews",8 GB RAM | 128 GB ROM16.33 cm (6.43 inch) Full HD Display50MP + 8MP + 2MP | 32MP Front Camera4500 mAh Lithium-ion Polymer BatteryMediatek Dimensity 1300 Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"OPPO F21s Pro 5G (Dawnlight Gold, 128 GB)"," 24,885",4.1,389 Ratings & 27 Reviews,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.33 cm (6.43 inch) Full HD+ E3 Super AMOLED Display64MP + 64MP + 2MP + 2MP | 16MP Dual Front Camera4500 mAh Battery12 months
"OPPO A57 (Glowing Gold, 64 GB)"," 13,999",4.4,"2,241 Ratings & 108 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.66 cm (6.56 inch) HD+ Display13MP + 2MP | 8MP Front Camera5000 mAh Lithium-ion Polymer BatteryMediatek Helio G35 Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"OPPO A76 (Glowing Blue, 128 GB)"," 16,490",4.3,362 Ratings & 27 Reviews,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.66 cm (6.56 inch) HD+ Display13MP + 2MP | 8MP Front Camera5000 mAh Lithium Ion BatteryQualcomm Snapdragon 680 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories
"OPPO F21S PRO (Dawnlight Gold, 128 GB)"," 21,498",4.2,257 Ratings & 17 Reviews,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.33 cm (6.43 inch) Full HD+ Display64MP + 2MP + 2MP | 32MP + 2MP Dual Front Camera4500 mAh BatteryQualcomm SM6225 Snapdragon 680 4G (6 nm) Processor12MONTH
"OPPO A55 (Starry Black, 128 GB)"," 15,199",4.1,426 Ratings & 23 Reviews,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB16.54 cm (6.51 inch) HD+ Display50MP + 2MP + 2MP | 16MP Front Camera5000 mAh Lithium-ion Polymer BatteryMediaTek Helio G35 ProcessorBrand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories
"OPPO A16E (White, 32 GB)"," 9,990",4.3,760 Ratings & 32 Reviews,3 GB RAM | 32 GB ROM | Expandable Upto 1 TB16.56 cm (6.52 inch) HD+ Display13MP Rear Camera | 5MP Front Camera4230 mAh BatteryMediatek Helio P22 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"OPPO A78 5G (Glowing Black, 128 GB)"," 18,989",4.3,26 Ratings & 1 Reviews,8 GB RAM | 128 GB ROM16.66 cm (6.56 inch) Display13MP Rear Camera5000 mAh Battery12 Months
"OPPO A15s (Dynamic Black, 128 GB)"," 12,990",4.3,"5,667 Ratings & 308 Reviews",4 GB RAM | 128 GB ROM16.56 cm (6.52 inch) Display13MP Rear Camera4230 mAh Battery1 YEAR
"OPPO A16 (Crystal Black, 64 GB)"," 12,990",4.3,"3,874 Ratings & 277 Reviews",4 GB RAM | 64 GB ROM16.56 cm (6.52 inch) HD+ Display13MP Rear Camera | 8MP Front Camera5000 mAh BatteryMediaTek Helio G35 ProcessorBrand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories
"oppo A17K (Gold, 64 GB)"," 9,380",4.5,937 Ratings & 24 Reviews,3 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.66 cm (6.56 inch) Display8MP Rear Camera | 5MP Front Camera5000 mAh BatteryMTK Helio G35 Processor1 YEAR
"OPPO A77 (Sky Blue, 64 GB)"," 15,499",4.3,362 Ratings & 18 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.66 cm (6.56 inch) HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh Lithium-ion Polymer BatteryMediatek Helio G35 Processor1 Year on Handset and 6 Months on Accessories
"OPPO A16E (Midnight Black, 32 GB)"," 9,990",4.3,760 Ratings & 32 Reviews,3 GB RAM | 32 GB ROM | Expandable Upto 1 TB16.56 cm (6.52 inch) HD+ Display13MP Rear Camera | 5MP Front Camera4230 mAh BatteryMediatek Helio P22 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"OPPO A16E (White, 64 GB)"," 10,989",4.2,"1,609 Ratings & 76 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.56 cm (6.52 inch) HD+ Display13MP Rear Camera | 5MP Front Camera4230 mAh BatteryMediatek Helio P22 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"OPPO A77 (Sky Blue, 128 GB)"," 15,999",4.3,362 Ratings & 18 Reviews,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.66 cm (6.56 inch) HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh Lithium-ion Polymer BatteryMediatek Helio G35 Processor1 Year on Handset and 6 Months on Accessories
"OPPO A57 (Glowing Green, 64 GB)"," 12,990",4.4,"2,241 Ratings & 108 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.66 cm (6.56 inch) HD+ Display13MP + 2MP | 8MP Front Camera5000 mAh Lithium-ion Polymer BatteryMediatek Helio G35 Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"OPPO A55 (Rainbow Blue, 64 GB)"," 14,499",4.3,792 Ratings & 69 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.54 cm (6.51 inch) HD+ Display50MP + 2MP + 2MP | 16MP Front Camera5000 mAh Lithium-ion Polymer BatteryMediaTek Helio G35 ProcessorBrand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories
"OPPO A54 (Crystal Black, 128 GB)"," 14,990",4.4,"10,952 Ratings & 676 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB16.54 cm (6.51 inch) HD+ Display13MP + 2MP + 2MP | 16MP Front Camera5000 mAh Lithium-ion Polymer BatteryMediaTek Helio P35 ProcessorBrand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories
"OPPO A78 5G (Glowing Blue, 128 GB)"," 19,399",4.3,26 Ratings & 1 Reviews,8 GB RAM | 128 GB ROM16.66 cm (6.56 inch) Display13MP Rear Camera5000 mAh Battery12 Months
"OPPO A54 (Moonlight Gold, 128 GB)"," 13,990",4.4,"10,952  & 676 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB16.54 cm (6.51 inch) HD+ Display13MP + 2MP + 2MP | 16MP Front Camera5000 mAh Lithium-ion Polymer BatteryMediaTek Helio P35 ProcessorBrand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories
"OPPO F21 Pro (Cosmic Black, 128 GB)"," 21,899",4.4,"2,724 Ratings & 196 Reviews",8 GB RAM | 128 GB ROM16.33 cm (6.43 inch) Display64MP Rear Camera4500 mAh Battery12 months
"OPPO A74 5G (Fantastic Purple, 128 GB)"," 17,690",4.3,"1,136 Ratings & 107 Reviews",6 GB RAM | 128 GB ROM16.48 cm (6.49 inch) Display48MP + 2MP + 2MP | 8MP Front Camera5000 mAh BatteryBrand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories
"OPPO A55 (Mint Green, 128 GB)"," 16,490",4.1,426 Ratings & 23 Reviews,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB16.54 cm (6.51 inch) HD+ Display50MP + 2MP + 2MP | 16MP Front Camera5000 mAh Lithium-ion Polymer BatteryMediaTek Helio G35 ProcessorBrand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories
"OPPO A 78 5G (Black, 128 GB)"," 19,750",n/a,n/a,8 GB RAM | 128 GB ROM16.66 cm (6.56 inch) Display50MP Rear Camera5000 mAh Battery1 Year Warranty and 6 Months Warranty for In-Box
"OPPO F17 Pro (Matte Black, 128 GB)"," 19,990",4.3,"28,472 Ratings & 2,444 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 256 GB16.33 cm (6.43 inch) Full HD+ Display48MP + 8MP + 2MP + 2MP | 16MP + 2MP Dual Front Camera4015 mAh Lithium-ion BatteryMediaTek Helio P95 ProcessorIn-Display Fingerprint 3.030W VOOC Flash Charge 4.0Brand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories
"OPPO A55 (Starry Black, 64 GB)"," 14,469",4.3,792 Ratings & 69 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.54 cm (6.51 inch) HD+ Display50MP + 2MP + 2MP | 16MP Front Camera5000 mAh Lithium-ion Polymer BatteryMediaTek Helio G35 ProcessorBrand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories
"OPPO A31 (Mystery Black, 64 GB)"," 12,900",4.3,"22,055 Ratings & 1,459 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB16.51 cm (6.5 inch) HD+ Display12MP + 2MP + 2MP | 8MP Front Camera4230 mAh BatteryMediaTek Helio P35 Octa Core ProcessorBrand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories
"OPPO A96 (Starry Black, 128 GB)"," 17,999",4.3,983 Ratings & 95 Reviews,8 GB RAM | 128 GB ROM16.74 cm (6.59 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh Lithium Ion BatteryQualcomm Snapdragon 680 Processor1 Year Manufacturer Warranty for Device and 6 months Manufacturer Warranty for In-Box Accessories from Date of Purchase
"OPPO A57 (Green, 64 GB)"," 13,970",4.4,"2,241 Ratings & 108 Reviews",4 GB RAM | 64 GB ROM16.66 cm (6.56 inch) Display13MP Rear Camera5000 mAh Battery1 year warranty by brand
"OPPO A15s (Dynamic Black, 64 GB)"," 10,285",4.3,"5,667 Ratings & 308 Reviews",4 GB RAM | 64 GB ROM16.56 cm (6.52 inch) Display13MP Rear Camera4230 mAh BatteryBrand Warranty of 1 Year Available
"OPPO A15S (Fancy white, 128 GB)"," 12,900",4.3,"5,667 Ratings & 308 Reviews",4 GB RAM | 128 GB ROM16.56 cm (6.52 inch) Display13MP Rear Camera4230 mAh Battery1 Year
"OPPO A74 5G BLACK (Fluid Black, 128 GB)"," 17,790",4.3,"1,805 Ratings & 140 Reviews",6 GB RAM | 128 GB ROM16.48 cm (6.49 inch) Display48MP + 2MP + 2MP | 8MP Front Camera5000 mAh BatteryBrand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories
"OPPO Reno8 Pro 5G (Glazed Black, 256 GB)"," 45,999",4.4,"2,287 Ratings & 277 Reviews",12 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ AMOLED Display50MP + 8MP + 2MP | 32MP Front Camera4500 mAh Lithium-ion Polymer BatteryMediatek Dimensity 8100 Max Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"OPPO A54 (Moonlight Gold, 128 GB)"," 17,800",4.3,"4,067 Ratings & 229 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB16.54 cm (6.51 inch) HD+ Display13MP + 2MP + 2MP | 16MP Front Camera5000 mAh Lithium-ion Polymer BatteryMediaTek Helio P35 ProcessorBrand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories
"OPPO A54 (Crystal Black, 128 GB)"," 14,990",4.3,"4,067 Ratings & 229 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 256 GB16.54 cm (6.51 inch) HD+ Display13MP + 2MP + 2MP | 16MP Front Camera5000 mAh Lithium-ion Polymer BatteryMediaTek Helio P35 ProcessorBrand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories
"OPPO A54 (Starry Blue, 128 GB)"," 14,380",4.4,"10,952 Ratings & 676 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 256 GB16.54 cm (6.51 inch) HD+ Display13MP + 2MP + 2MP | 16MP Front Camera5000 mAh Lithium-ion Polymer BatteryMediaTek Helio P35 ProcessorBrand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories
"OPPO A16k (Blue, 32 GB)"," 9,989",4.2,663 Ratings & 38 Reviews,3 GB RAM | 32 GB ROM | Expandable Upto 1 TB16.56 cm (6.52 inch) HD+ Display13MP Rear Camera | 5MP Front Camera4230 mAh BatteryMediatek Helio G35 (MT6765) Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"OPPO A96 (Sunset Blue, 128 GB)"," 16,999",4.3,983 Ratings & 95 Reviews,8 GB RAM | 128 GB ROM16.74 cm (6.59 inch) Full HD+ Display50MP + 2MP | 16MP Front Camera5000 mAh Lithium Ion BatteryQualcomm Snapdragon 680 Processor1 Year Manufacturer Warranty for Device and 6 months Manufacturer Warranty for In-Box Accessories from Date of Purchase
"OPPO A16k (Midnight Black, 32 GB)"," 9,979",4.2,663 Ratings & 38 Reviews,3 GB RAM | 32 GB ROM | Expandable Upto 1 TB16.56 cm (6.52 inch) HD+ Display13MP Rear Camera | 5MP Front Camera4230 mAh BatteryMediatek Helio G35 (MT6765) Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"OPPO F21SPRO (Orange, 128 GB)"," 20,866",4.2,35 Ratings & 0 Reviews,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.33 cm (6.43 inch) Display64MP + 2MP | 32MP + 2MP Dual Front Camera4500 mAh Battery1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"OPPO A33 (Moonlight Black, 32 GB)"," 10,490",4.4,"51,302 Ratings & 3,351 Reviews",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB16.51 cm (6.5 inch) HD+ Display13MP + 2MP + 2MP | 8MP Front Camera5000 mAh Lithium-ion Polymer BatteryQualcomm Snapdragon 460 Processor90 Hz Punch Hole Display18W Fast ChargingBrand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories
"OPPO A15 (Dynamic Black, 32 GB)"," 10,990",4.3,"2,107 Ratings & 115 Reviews",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB16.56 cm (6.52 inch) HD+ Display13MP + 2MP + 2MP | 5MP Front Camera4230 mAh Lithium-ion Polymer BatteryMediaTek Helio P35 (MT6765) ProcessorBrand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories
"OPPO Reno6 5G (Stellar Black, 128 GB)"," 28,500",4.3,"53,369 Ratings & 6,867 Reviews",8 GB RAM | 128 GB ROM16.33 cm (6.43 inch) Full HD+ Display64MP + 8MP + 2MP | 32MP Front Camera4300 mAh Lithium-ion Polymer BatteryMediaTek Dimensity 900 Processor65W SuperVOOC 2.0 Charging90Hz AMOLED DisplayBokeh Flare Portrait Video | OPPO Reno Glow 2.0 | Ultra-slim Retro DesignBrand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories
"OPPO A 57e (Green, 64 GB)"," 13,999",4.2,19 Ratings & 3 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.66 cm (6.56 inch) HD+ Display13MP + 2MP | 8MP Front Camera5000 mAh BatteryMediatek Helio G35 Processor1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"OPPO A16E (Blue, 32 GB)"," 9,989",4.3,760 Ratings & 32 Reviews,3 GB RAM | 32 GB ROM | Expandable Upto 1 TB16.56 cm (6.52 inch) HD+ Display13MP Rear Camera | 5MP Front Camera4230 mAh BatteryMediatek Helio P22 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"OPPO A16k (Black, 32 GB)"," 9,490",4.2,663 Ratings & 38 Reviews,3 GB RAM | 32 GB ROM | Expandable Upto 1 TB16.56 cm (6.52 inch) HD+ Display13MP Rear Camera | 5MP Front Camera4230 mAh BatteryMediatek Helio G35 (MT6765) Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"OPPO Reno7 Pro 5G (Starlight Black, 256 GB)"," 34,999",4.3,"8,213 Ratings & 1,086 Reviews",12 GB RAM | 256 GB ROM16.51 cm (6.5 inch) Full HD+ AMOLED Display50MP + 8MP + 2MP | 32MP Front Camera4500 mAh Lithium-ion Polymer BatteryMediaTek Dimensity 1200-Max Processor65W SuperVOOC | OPPO Sony IMX766 Flagship Rear Camera SensorAircraft-Grade Shooting Star Design | OPPO Glow1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories
"OPPO A16k (White, 32 GB)"," 9,499",4.2,663 Ratings & 38 Reviews,3 GB RAM | 32 GB ROM | Expandable Upto 1 TB16.56 cm (6.52 inch) HD+ Display13MP Rear Camera | 5MP Front Camera4230 mAh BatteryMediatek Helio G35 (MT6765) Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"OPPO A16E (Blue, 32 GB)"," 9,979",4.3,760 Ratings & 32 Reviews,3 GB RAM | 32 GB ROM | Expandable Upto 1 TB16.56 cm (6.52 inch) HD+ Display13MP Rear Camera | 5MP Front Camera4230 mAh BatteryMediatek Helio P22 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"OPPO Reno6 5G (Stellar Black, 128 GB)"," 28,500",4.3,"53,369 Ratings & 6,867 Reviews",8 GB RAM | 128 GB ROM16.33 cm (6.43 inch) Full HD+ Display64MP + 8MP + 2MP | 32MP Front Camera4300 mAh Lithium-ion Polymer BatteryMediaTek Dimensity 900 Processor65W SuperVOOC 2.0 Charging90Hz AMOLED DisplayBokeh Flare Portrait Video | OPPO Reno Glow 2.0 | Ultra-slim Retro DesignBrand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories
"OPPO A15 (Dynamic Black, 32 GB)"," 10,990",4.3,"2,107 Ratings & 115 Reviews",3 GB RAM | 32 GB ROM | Expandable Upto 256 GB16.56 cm (6.52 inch) HD+ Display13MP + 2MP + 2MP | 5MP Front Camera4230 mAh Lithium-ion Polymer BatteryMediaTek Helio P35 (MT6765) ProcessorBrand Warranty of 1 Year Available for Mobile Including Battery and 6 Months for Accessories
"OPPO A16k (Black, 32 GB)"," 9,490",4.2,663 Ratings & 38 Reviews,3 GB RAM | 32 GB ROM | Expandable Upto 1 TB16.56 cm (6.52 inch) HD+ Display13MP Rear Camera | 5MP Front Camera4230 mAh BatteryMediatek Helio G35 (MT6765) Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
